,,,,,
TITLE,GLUCOSA 5,,,,
DATA TYPE,INFRARED SPECTRUM,,,,
ORIGIN,JASCO,,,,
OWNER,,,,,
DATE,19/02/15,,,,
TIME,16:01:16,,,,
SPECTROMETER/DATA SYSTEM,,,,,
LOCALE,1033,,,,
RESOLUTION,,,,,
DELTAX,0.964233,,,,
XUNITS,1/CM,,,,
YUNITS,ABSORBANCE,,,,
FIRSTX,399.1927,,,,
LASTX,4000.6047,,,,
NPOINTS,3736,,,,
FIRSTY,-0.00239,,,,
MAXY,1.11787,,,,
MINY,-0.00239,,,,
XYDATA,,,,,
399.1927,-0.00239407,,,,
400.1569,0.0020546,,,,
401.1211,0.00510457,,,,
402.0854,0.00640919,,,,
403.0496,0.00615334,,,,
404.0138,0.00472793,,,,
404.9781,0.00279128,,,,
405.9423,0.00125277,,,,
406.9065,0.001,,,,
407.8708,0.00249244,,,,
408.8350,0.0055194,,,,
409.7992,0.00927001,,,,
410.7635,0.0126665,,,,
411.7277,0.0148468,,,,
412.6919,0.0155519,,,,
413.6562,0.0151221,,,,
414.6204,0.0141598,,,,
415.5846,0.0132304,,,,
416.5489,0.0127977,,,,
417.5131,0.0132669,,,,
418.4773,0.0148496,,,,
419.4416,0.0172018,,,,
420.4058,0.0194867,,,,
421.3700,0.0210755,,,,
422.3343,0.021863,,,,
423.2985,0.0220226,,,,
424.2627,0.0218019,,,,
425.2270,0.0214786,,,,
426.1912,0.0213192,,,,
427.1554,0.0214837,,,,
428.1197,0.0219496,,,,
429.0839,0.0225301,,,,
430.0481,0.0229778,,,,
431.0124,0.0231269,,,,
431.9766,0.0230144,,,,
432.9408,0.0228989,,,,
433.9051,0.0231316,,,,
434.8693,0.0239287,,,,
435.8335,0.0251875,,,,
436.7978,0.0264956,,,,
437.7620,0.0273545,,,,
438.7262,0.0274643,,,,
439.6905,0.0268859,,,,
440.6547,0.0260215,,,,
441.6189,0.0254511,,,,
442.5832,0.0256791,,,,
443.5474,0.0268858,,,,
444.5116,0.0288447,,,,
445.4759,0.0310805,,,,
446.4401,0.0331306,,,,
447.4043,0.0347078,,,,
448.3686,0.0357198,,,,
449.3328,0.0362232,,,,
450.2970,0.0363772,,,,
451.2613,0.0363897,,,,
452.2255,0.036429,,,,
453.1897,0.0365284,,,,
454.1540,0.0365565,,,,
455.1182,0.0362962,,,,
456.0824,0.0356129,,,,
457.0467,0.0346289,,,,
458.0109,0.0337478,,,,
458.9751,0.0334092,,,,
459.9394,0.0337645,,,,
460.9036,0.0346429,,,,
461.8678,0.0357949,,,,
462.8321,0.0370977,,,,
463.7963,0.0385663,,,,
464.7605,0.0402198,,,,
465.7248,0.0419309,,,,
466.6890,0.0433975,,,,
467.6532,0.0442903,,,,
468.6175,0.0444509,,,,
469.5817,0.0439831,,,,
470.5459,0.0432065,,,,
471.5102,0.0425406,,,,
472.4744,0.0423668,,,,
473.4386,0.042913,,,,
474.4029,0.044222,,,,
475.3671,0.046198,,,,
476.3313,0.0486387,,,,
477.2956,0.0512171,,,,
478.2598,0.0534843,,,,
479.2240,0.0549801,,,,
480.1883,0.0554387,,,,
481.1525,0.0549588,,,,
482.1167,0.0539975,,,,
483.0810,0.0531743,,,,
484.0452,0.0529958,,,,
485.0094,0.0536567,,,,
485.9737,0.0550319,,,,
486.9379,0.0568336,,,,
487.9021,0.0587748,,,,
488.8664,0.0606215,,,,
489.8306,0.0621747,,,,
490.7948,0.063282,,,,
491.7591,0.0639139,,,,
492.7233,0.0642248,,,,
493.6875,0.0644903,,,,
494.6518,0.0649349,,,,
495.6160,0.0655957,,,,
496.5802,0.0663345,,,,
497.5445,0.0669795,,,,
498.5087,0.0674815,,,,
499.4729,0.0679856,,,,
500.4372,0.0687704,,,,
501.4014,0.0700766,,,,
502.3656,0.0719264,,,,
503.3299,0.0740816,,,,
504.2941,0.076193,,,,
505.2583,0.0780107,,,,
506.2226,0.079486,,,,
507.1868,0.0807301,,,,
508.1510,0.0818968,,,,
509.1153,0.0830717,,,,
510.0795,0.0842229,,,,
511.0437,0.0852339,,,,
512.0080,0.0859956,,,,
512.9722,0.0864983,,,,
513.9365,0.0868776,,,,
514.9007,0.0873843,,,,
515.8649,0.0882686,,,,
516.8292,0.0895973,,,,
517.7934,0.0911131,,,,
518.7576,0.0923145,,,,
519.7219,0.0927814,,,,
520.6861,0.0924706,,,,
521.6503,0.0917222,,,,
522.6146,0.0910413,,,,
523.5788,0.0908526,,,,
524.5430,0.0913094,,,,
525.5073,0.0921966,,,,
526.4715,0.0930206,,,,
527.4357,0.0933125,,,,
528.4000,0.0929298,,,,
529.3642,0.0921113,,,,
530.3284,0.0913004,,,,
531.2927,0.0909183,,,,
532.2569,0.0911954,,,,
533.2211,0.0920923,,,,
534.1854,0.0933282,,,,
535.1496,0.0945199,,,,
536.1138,0.0953662,,,,
537.0781,0.0957806,,,,
538.0423,0.0959054,,,,
539.0065,0.0960128,,,,
539.9708,0.0963601,,,,
540.9350,0.0970831,,,,
541.8992,0.0981746,,,,
542.8635,0.0995339,,,,
543.8277,0.101037,,,,
544.7919,0.102584,,,,
545.7562,0.104107,,,,
546.7204,0.105563,,,,
547.6846,0.106924,,,,
548.6489,0.10818,,,,
549.6131,0.109348,,,,
550.5773,0.110465,,,,
551.5416,0.111574,,,,
552.5058,0.112704,,,,
553.4700,0.113848,,,,
554.4343,0.11496,,,,
555.3985,0.115944,,,,
556.3627,0.116659,,,,
557.3270,0.11695,,,,
558.2912,0.116707,,,,
559.2554,0.115927,,,,
560.2197,0.114756,,,,
561.1839,0.113452,,,,
562.1481,0.112285,,,,
563.1124,0.111415,,,,
564.0766,0.110825,,,,
